"Player","Matches","innings","notouts","runs","best","average","balls","strike_rate","hundreds","fifties","zeros","fours","sixes"
"JE Root",4,8,0,368,218,46.0,676,54.43,1,0,0,35,2
"JC Buttler",1,2,0,54,30,27.0,91,59.34,0,0,0,7,1
"BA Stokes",4,8,0,203,82,25.37,403,50.37,0,2,0,22,5
"DW Lawrence",3,6,0,149,50,24.83,326,45.7,0,1,1,17,1
"MM Ali",1,2,0,49,43,24.5,48,102.08,0,0,0,4,5
"OJ Pope",4,8,0,153,34,19.12,343,44.6,0,0,0,12,1
"DP Sibley",4,8,0,134,87,16.75,434,30.87,0,1,1,17,0
"Z Crawley",2,4,0,67,53,16.75,131,51.14,0,1,1,11,0
"DM Bess",2,4,0,64,34,16.0,182,35.16,0,0,0,9,0
"BT Foakes",3,6,1,78,42,15.6,260,30.0,0,0,0,5,0
"RJ Burns",2,4,0,58,33,14.5,106,54.71,0,0,2,6,0
"MJ Leach",4,8,2,48,14,8.0,194,24.74,0,0,1,6,1
"JM Bairstow",2,4,0,28,28,7.0,79,35.44,0,0,3,6,0
"SCJ Broad",2,4,2,9,5,4.5,48,18.75,0,0,1,1,0
"JC Archer",2,4,0,16,11,4.0,31,51.61,0,0,2,2,0
"JM Anderson",3,6,3,12,10,4.0,36,33.33,0,0,2,1,0
"OP Stone",1,2,0,1,1,0.5,9,11.11,0,0,1,0,0
"Washington Sundar",3,4,2,181,96,90.5,329,55.01,0,2,2,22,3
"RG Sharma",4,7,1,345,161,57.5,595,57.98,1,1,0,43,5
"RR Pant",4,6,1,270,101,54.0,321,84.11,1,2,0,32,10
"R Ashwin",4,6,0,189,106,31.5,368,51.35,1,0,0,24,2
"V Kohli",4,6,0,172,72,28.66,372,46.23,0,2,2,19,0
"CA Pujara",4,6,0,133,73,22.16,332,40.06,0,1,1,16,0
"Shubman Gill",4,7,1,119,50,19.83,217,54.83,0,1,2,15,3
"AM Rahane",4,6,0,112,67,18.66,242,46.28,0,1,1,16,0
"AR Patel",3,4,0,55,43,13.75,131,41.98,0,0,1,7,1
"Mohammed Siraj",2,3,1,20,16,10.0,26,76.92,0,0,1,1,2
"I Sharma",4,6,2,26,10,6.5,73,35.61,0,0,2,3,1
"JJ Bumrah",2,3,0,5,4,1.66,18,27.77,0,0,1,1,0
"Kuldeep Yadav",1,2,0,3,3,1.5,24,12.5,0,0,1,0,0
"S Nadeem",1,2,0,0,0,0.0,25,0.0,0,0,2,0,0
