"Player","Matches","runs_scored","highest","bat_avg","hundreds","fifties","overs","runs_given","wickets","best_fig","bw_avg"
"JE Root",4,368,218,46.0,1,0,45.0,141,6,"5/8",23.5
"JC Buttler",1,54,30,27.0,0,0,0.0,0,0,"",0.0
"BA Stokes",4,203,82,25.37,0,2,42.4,153,5,"4/89",30.6
"DW Lawrence",3,149,50,24.83,0,1,0.0,0,0,"",0.0
"MM Ali",1,49,43,24.5,0,0,61.0,226,8,"4/98",28.25
"OJ Pope",4,153,34,19.12,0,0,0.0,0,0,"",0.0
"DP Sibley",4,134,87,16.75,0,1,0.0,0,0,"",0.0
"Z Crawley",2,67,53,16.75,0,1,0.0,0,0,"",0.0
"DM Bess",2,64,34,16.0,0,0,51.0,197,5,"4/76",39.4
"BT Foakes",3,78,42,15.6,0,0,0.0,0,0,"",0.0
"RJ Burns",2,58,33,14.5,0,0,0.0,0,0,"",0.0
"MJ Leach",4,48,14,8.0,0,0,161.0,517,18,"4/54",28.72
"JM Bairstow",2,28,28,7.0,0,0,0.0,0,0,"",0.0
"SCJ Broad",2,9,5,4.5,0,0,0.0,0,0,"",0.0
"JC Archer",2,16,11,4.0,0,0,35.1,122,4,"2/75",30.5
"JM Anderson",3,12,10,4.0,0,0,65.5,127,8,"3/17",15.87
"OP Stone",1,1,1,0.5,0,0,22.4,68,4,"3/47",17.0
"Washington Sundar",3,181,96,90.5,0,2,38.4,130,2,"1/1",65.0
"RG Sharma",4,345,161,57.5,1,1,0.0,0,0,"",0.0
"RR Pant",4,270,101,54.0,1,2,0.0,0,0,"",0.0
"R Ashwin",4,189,106,31.5,1,0,188.1,471,32,"6/61",14.71
"V Kohli",4,172,72,28.66,0,2,0.0,0,0,"",0.0
"CA Pujara",4,133,73,22.16,0,1,0.0,0,0,"",0.0
"Shubman Gill",4,119,50,19.83,0,1,0.0,0,0,"",0.0
"AM Rahane",4,112,67,18.66,0,1,0.0,0,0,"",0.0
"AR Patel",3,55,43,13.75,0,0,27.4,286,27,"6/38",10.59
"Mohammed Siraj",2,20,16,10.0,0,0,26.0,68,3,"2/45",22.66
"I Sharma",4,26,10,6.5,0,0,59.0,160,6,"2/22",26.66
"JJ Bumrah",2,5,4,1.66,0,0,48.0,129,4,"3/84",32.25
"Kuldeep Yadav",1,3,3,1.5,0,0,12.2,41,2,"2/25",20.5
"S Nadeem",1,0,0,0.0,0,0,59.0,233,4,"2/66",58.25
